id,audio_file,duration_sec,human_transcript,punctuation_style,filler_words,noise_level,accent_notes,pause_notes,annotation_confidence,reviewer_notes
fleurs_zh_016,audio/fleurs_zh_016.wav,8.16,大多数地区都能坐到舒适结实的日本coaster小巴车,minimal_no_spaces,none,medium,bilingual_code_switch,pause_before_english_brand,high,Brand term 'coaster' kept in Latin script; surrounding text in Chinese.
fleurs_zh_017,audio/fleurs_zh_017.wav,11.3,每年规模最大的锦标赛于12月份在拉斯卡尼塔斯lascañitas的马球场举行,minimal_no_spaces,none,low,mixed_language_proper_nouns,proper_noun_slowdown,medium,"Geographic names include Spanish 'las cañitas'; normalized spacing, kept original spelling."
fleurs_zh_018,audio/fleurs_zh_018.wav,11.52,这位奥运会金牌得主本应参加100米和200米自由泳和英联邦运动会的三项接力赛但由于他的抱怨他的健康状况一直受到质疑,minimal_no_spaces,none,low,standard_mandarin,multiple_clauses_with_short_pauses,high,Long compound sentence; metric units (100米/200米) transcribed with Arabic numerals.
fleurs_zh_019,audio/fleurs_zh_019.wav,11.82,公园占地19500平方公里分为14个不同的生态区为不同的野生动植物提供支持,minimal_no_spaces,none,low,standard_mandarin,list_like_number_phrases,high,"Large numeric values (19500, 14) verified against audio rhythm."
fleurs_zh_020,audio/fleurs_zh_020.wav,10.98,如果冬季去北极或南极地区旅游你就能体验到极夜即一段时间内太阳不会从地平线上升起,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_021,audio/fleurs_zh_021.wav,7.14,阿根廷以拥有世界顶尖的马球队和球员而闻名,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_022,audio/fleurs_zh_022.wav,8.82,圣诞节是基督教最重要的节日之一是为了庆祝基督诞辰而设立的,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_023,audio/fleurs_zh_023.wav,9.06,联合国还希望最终成立一项基金帮助有关国家应对全球变暖的影响,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_024,audio/fleurs_zh_024.wav,6.66,现场活动包括打猎钓鱼摄影观鸟参观公园和研究生态系统,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_025,audio/fleurs_zh_025.wav,7.32,目睹第一次世界大战中的肆虐残暴后各国都渴望避免重蹈覆辙,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_026,audio/fleurs_zh_026.wav,9.72,研究人员认为尽管这是一只年轻恐龙的尾巴但样本显示的是成年羽毛而非雏龙的绒毛,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_027,audio/fleurs_zh_027.wav,6.96,很快配备了防暴装备的警察进入了院子并用催泪瓦斯把囚犯逼得走投无路,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_028,audio/fleurs_zh_028.wav,11.16,这些理论表明当人们成熟到一定程度进入成年时某些需求和或欲望就被内化了,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_029,audio/fleurs_zh_029.wav,8.88,由于一天只颁发十八块奖牌许多国家的运动员未能登上领奖台,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
fleurs_zh_030,audio/fleurs_zh_030.wav,6.84,所有的这些都成为了独立的学科着重为现实生活中的问题提供解决方案,minimal_no_spaces,none,low,standard_mandarin,natural_phrasing,high,Transcribed verbatim from audio; removed spacing from reference transcript.
